,movie,year,content_rating,genre,runtime_min,imdb_rating,metascore,votes
11177,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11178,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11179,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11180,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11181,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11182,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11183,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11184,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11185,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11186,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11187,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11188,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11189,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11190,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11191,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11192,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11193,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11194,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11195,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11196,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11197,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11198,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11199,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11200,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11201,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11202,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11203,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11204,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11205,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11206,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11207,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11208,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11209,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11210,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11211,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11212,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11213,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11214,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11215,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11216,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11217,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11218,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11219,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11220,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11221,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11222,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11223,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11224,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11225,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11226,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11227,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11228,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11229,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
