,movie,year,content_rating,genre,duration_min,imdb_rating,metascore,votes
357,Ma Rainey's Black Bottom,,R,"['Drama', ' Music']",94,6.9,87,53837
358,Fantasy Island,,PG-13,"['Fantasy', ' Horror', ' Mystery']",109,4.9,22,53013
359,Macbeth,,R,"['Drama', ' History', ' War']",113,6.6,71,57263
360,Deliver Us from Evil,,R,"['Action', ' Adventure', ' Crime']",118,6.2,40,78736
361,Deepwater Horizon,,PG-13,"['Action', ' Drama', ' History']",107,7.1,68,170018
362,Death Note,,TV-MA,"['Crime', ' Drama', ' Fantasy']",101,4.5,43,85544
363,Metal Lords,,R,"['Comedy', ' Music']",97,6.7,59,27394
364,Outside the Wire,,R,"['Action', ' Adventure', ' Fantasy']",114,5.4,45,42829
365,MI-5,,R,"['Action', ' Drama', ' Thriller']",104,6.2,47,22921
366,Taken 2,,PG-13,"['Action', ' Crime', ' Thriller']",92,6.2,45,308311
367,The Guernsey Literary and Potato Peel Pie Society,,TV-14,"['Drama', ' Romance', ' War']",124,7.3,65,47261
368,The DUFF,,PG-13,"['Comedy', ' Romance']",101,6.4,56,95443
369,Hotel Transylvania 3: Summer Vacation,,PG,"['Animation', ' Adventure', ' Comedy']",97,6.3,54,75020
370,Death Wish,,R,"['Action', ' Crime', ' Drama']",107,6.3,31,72762
371,Revenge,,R,"['Action', ' Drama', ' Horror']",108,6.4,81,44071
372,CHIPS,,R,"['Action', ' Comedy', ' Crime']",100,6,28,48477
373,The Mauritanian,,R,"['Biography', ' Drama', ' Thriller']",129,7.4,53,52025
374,Colombiana,,PG-13,"['Action', ' Drama', ' Thriller']",108,6.4,45,102109
375,Alvin and the Chipmunks: The Squeakquel,,PG,"['Animation', ' Adventure', ' Comedy']",88,4.5,41,49861
376,Spy Kids 3: Game Over,,PG,"['Action', ' Adventure', ' Comedy']",84,4.3,57,61195
377,Jurassic Park III,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",92,5.9,42,323580
378,Once Upon a Time in Mexico,,R,"['Action', ' Crime', ' Thriller']",102,6.3,56,163186
379,The Ugly Truth,,R,"['Comedy', ' Romance']",96,6.4,28,220335
380,This Means War,,PG-13,"['Action', ' Comedy', ' Romance']",103,6.3,31,187643
381,The Next Three Days,,PG-13,"['Action', ' Crime', ' Drama']",133,7.3,52,198072
382,Going in Style,,PG-13,"['Comedy', ' Crime']",96,6.6,50,86232
383,His House,,TV-14,"['Drama', ' Horror', ' Thriller']",93,6.5,72,42673
384,We Can Be Heroes,,PG,"['Action', ' Comedy', ' Drama']",100,4.7,51,15130
385,The Ice Road,,PG-13,"['Action', ' Adventure', ' Thriller']",109,5.6,42,41443
386,The Wrong Missy,,TV-MA,"['Comedy', ' Romance']",90,5.7,33,40272
387,Da 5 Bloods,,R,"['Adventure', ' Drama', ' War']",154,6.5,82,51826
388,Dark Places,,R,"['Crime', ' Drama', ' Mystery']",113,6.2,39,45771
389,22-Jul,,R,"['Crime', ' Drama', ' History']",143,6.8,69,34445
390,Alice Through the Looking Glass,,PG,"['Adventure', ' Family', ' Fantasy']",113,6.2,34,109983
391,Insidious: Chapter 2,,PG-13,"['Horror', ' Mystery', ' Thriller']",106,6.5,40,172223
392,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,,R,"['Comedy', ' Crime']",89,6.5,53,56306
393,Young Guns II,,PG-13,"['Action', ' Western']",104,6.5,47,36712
394,Suburbicon,,R,"['Comedy', ' Crime', ' Drama']",105,5.7,42,44745
395,Apostle,,TV-MA,"['Drama', ' Fantasy', ' Horror']",130,6.3,62,53750
396,All the Bright Places,,TV-MA,"['Drama', ' Romance']",107,6.5,61,32230
397,The Two Popes,,PG-13,"['Biography', ' Comedy', ' Drama']",125,7.6,75,124244
398,Ponyo,,G,"['Animation', ' Adventure', ' Comedy']",101,7.6,86,144796
399,I See You,,R,"['Crime', ' Drama', ' Horror']",98,6.8,65,50249
400,Choose or Die,,MA-17,"['Drama', ' Horror', ' Thriller']",84,4.8,43,21112
401,Newness,,Unrated,"['Drama', ' Romance']",117,6.3,50,17084
402,The Silence,,PG-13,"['Drama', ' Horror', ' Sci-Fi']",90,5.3,25,45941
403,The Human Centipede 2 (Full Sequence),,Not Rated,['Horror'],91,3.8,17,39447
404,Kiki's Delivery Service,,G,"['Animation', ' Adventure', ' Family']",103,7.8,83,145481
405,Kung Fu Panda 3,,PG,"['Animation', ' Action', ' Adventure']",95,7.1,66,160261
406,Hypnotic,,TV-14,"['Mystery', ' Thriller']",88,5.3,32,16699
407,Blood Red Sky,,TV-MA,"['Action', ' Adventure', ' Drama']",121,6.1,43,49112
408,Wedding Season,,TV-PG,"['Comedy', ' Romance']",98,6.3,57,8194
409,The Devil's Own,,R,"['Action', ' Crime', ' Drama']",111,6.2,53,66696
